,importance
object_perimareaexc,0.16120442926452397
object_x,0.0843497257855812
object_equivalent_diameter,0.07802513931655078
object_stdsaturation,0.07471795220324783
object_area_exc,0.07063884268715466
object_meansaturation,0.04927876967806136
object_perimmajor,0.042735183974286786
object_area,0.03972505194469854
object_solidity,0.03823892937492128
object_extent,0.03816601116096038
object_minor,0.035709825851711736
object_elongation,0.035403675956179395
object_eccentricity,0.03503466784035031
object_meanvalue,0.02021739413838299
object_major,0.019076841069348247
object_%area,0.01907151580511468
object_label,0.017233792404766565
object_y,0.016783973751310452
object_angle,0.015306833983508027
object_circ.,0.011455480010992187
object_stdvalue,0.011234293561120863
object_local_centroid_col,0.010942326724971438
object_bounding_box_area,0.010805650226720052
object_by,0.008857476109618597
object_height,0.008801670039744228
object_perim.,0.007670375697164237
object_width,0.006690054757164898
object_meanhue,0.0065085659076301846
object_circex,0.005842167549368806
object_local_centroid_row,0.004885774276407156
object_convex_area,0.004655645781579913
object_bx,0.004623956256577539
object_euler_number,0.0036444730988297335
object_stdhue,0.0024635338114509416
