,importance
233,0.15795398838496919
119,0.11318727561445482
249,0.07822065024891349
356,0.07477658456759143
293,0.04295712850143061
168,0.04189214077258267
201,0.03339896540853233
99,0.025333045302208687
235,0.023983468792671592
24,0.022686080344327626
142,0.0219860681790904
15,0.019079122570234853
181,0.018217317342503373
357,0.0176898971685396
22,0.01476977613740034
375,0.012339837168315142
129,0.012102119340487681
77,0.011485543691545193
16,0.010358603752959552
259,0.010112897664684662
189,0.009617768394827976
347,0.008783951680488022
106,0.0084371574149237
186,0.007836389119948661
40,0.007604510352531983
363,0.00713789696486721
208,0.006652466831261711
271,0.0063111610521339725
369,0.006182131920589386
5,0.005716749751145135
113,0.005666074948272589
280,0.0052666946199617475
157,0.004829918816385315
241,0.00463815406072313
336,0.0045427669865210135
164,0.004336020500779848
247,0.004064282293583918
156,0.004022492396928097
368,0.004013062194597007
128,0.003896316874350283
328,0.003809646598982882
13,0.0037912273195027176
81,0.003773160946622102
381,0.0037683977828844822
229,0.003518156231930066
313,0.0034512714448735257
111,0.00334316466113229
344,0.0032656724234579114
341,0.0031765132464426035
273,0.0031191534938509327
301,0.0029488398023817613
47,0.0028804840567696406
45,0.002857300824270627
30,0.002627169597903517
14,0.0026271695979035166
159,0.0025411805065042275
165,0.002519350978443168
316,0.0025193509784431673
231,0.002484801942619914
367,0.002464889899236774
137,0.0023145382364880025
170,0.002273522352544659
309,0.002181106465478315
312,0.0021482666131408226
210,0.0020219680002205964
300,0.0020219680002205964
121,0.0018424058389540086
48,0.0017691354431610595
108,0.0017071388013135348
17,0.0016849733335171637
185,0.0016572359506851991
352,0.0016360258598187545
196,0.0016360258598187545
304,0.0016191987944113252
232,0.0015263583731409897
267,0.0015029430590831983
57,0.001502943059083198
190,0.0014849516642750787
49,0.0014849516642750787
234,0.0014078929885751265
64,0.0013613427951583866
322,0.0013479786668137306
334,0.0013479786668137306
329,0.0013355946711554754
218,0.0012865566748244866
63,0.0012865566748244866
101,0.0011620581956539745
80,0.001162058195653974
202,0.0011620581956539738
116,0.0010935856046235658
118,0.001018034599151462
298,0.001010984000110298
380,0.0008757231993011723
325,0.0008570054631131778
25,0.0008180129299093774
92,0.0006978669978554589
98,0.0006978669978554589
242,0.0006571622679994359
171,0.000608214794301027
84,0.000608214794301027
291,0.000608214794301027
265,0.0
270,0.0
276,0.0
275,0.0
272,0.0
264,0.0
266,0.0
274,0.0
268,0.0
269,0.0
0,0.0
263,0.0
262,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
230,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
243,0.0
244,0.0
245,0.0
246,0.0
248,0.0
278,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
260,0.0
261,0.0
277,0.0
302,0.0
279,0.0
358,0.0
354,0.0
353,0.0
351,0.0
350,0.0
349,0.0
348,0.0
346,0.0
345,0.0
343,0.0
342,0.0
340,0.0
339,0.0
338,0.0
337,0.0
335,0.0
355,0.0
359,0.0
332,0.0
360,0.0
382,0.0
379,0.0
378,0.0
377,0.0
376,0.0
374,0.0
373,0.0
372,0.0
371,0.0
370,0.0
366,0.0
365,0.0
364,0.0
362,0.0
361,0.0
333,0.0
331,0.0
281,0.0
303,0.0
299,0.0
297,0.0
296,0.0
295,0.0
294,0.0
