,importance
object_equivalent_diameter,0.18080271105762186
object_perimareaexc,0.17119482391355498
object_elongation,0.14069368241806998
object_minor,0.10703748146099099
object_eccentricity,0.0860919226212448
object_extent,0.07067618121169142
object_meanvalue,0.0626255406375455
object_meansaturation,0.04240678448438033
object_stdsaturation,0.03739060563444129
object_label,0.01571658554052416
object_perimmajor,0.015439198709051168
object_major,0.012973693900317836
object_solidity,0.011232642513809914
object_bx,0.00901703821534027
object_local_centroid_row,0.005359668843127069
object_stdvalue,0.004585500900434862
object_width,0.004400032600384872
object_height,0.004326543192973579
object_circex,0.0038580131087734408
object_stdhue,0.003665656314291141
object_bounding_box_area,0.0027574859613990316
object_x,0.0019170050364630477
object_circ.,0.0017480513564476076
object_convex_area,0.0016835131102786649
object_euler_number,0.001625440846803955
object_y,0.0007741964100384617
object_local_centroid_col,0.0
object_area,0.0
object_meanhue,0.0
object_by,0.0
object_angle,0.0
object_%area,0.0
object_perim.,0.0
object_area_exc,0.0
